[2024-08-10 16:52:11,295][INFO][Starting threadclient_request_handler]
[2024-08-10 17:05:53,887][INFO][CHAT_LOG USER_ID: 6768166922 Query: Hi]
[2024-08-10 17:05:53,887][ERROR][name 'markup' is not defined]
[2024-08-10 17:09:10,253][INFO][CHAT_LOG USER_ID: 6768166922 Query: Hi]
[2024-08-10 17:09:18,992][INFO][CHAT_LOG USER_ID: 6768166922 Query: Cool]
[2024-08-10 19:11:10,919][INFO][CHAT_LOG USER_ID: 6768166922 Query: Hi]
[2024-08-10 19:26:06,049][INFO][CHAT_LOG USER_ID: 6768166922 Query: Hi]
[2024-08-11 09:42:56,017][INFO][CHAT_LOG USER_ID: 6768166922 Query: Hi]
[2024-08-11 09:42:56,017][ERROR][INF() takes 1 positional argument but 2 were given]
[2024-08-11 09:43:10,026][INFO][CHAT_LOG USER_ID: 6768166922 Query: Hi]
[2024-08-11 09:43:10,026][ERROR][INF() takes 1 positional argument but 2 were given]
[2024-08-11 09:45:08,072][INFO][CHAT_LOG USER_ID: 6768166922 Query: Hi]
[2024-08-11 09:45:08,072][ERROR][can only concatenate str (not "int") to str]
[2024-08-11 09:45:51,432][INFO][CHAT_LOG USER_ID: 6768166922 Query: Hi]
[2024-08-11 09:45:51,432][ERROR][can only concatenate str (not "int") to str]
[2024-08-11 09:46:02,980][ERROR][Unhandled exception (full traceback for debug level): A request to the Telegram API was unsuccessful. Error code: 409. Description: Conflict: terminated by other getUpdates request; make sure that only one bot instance is running]
[2024-08-11 09:46:06,884][INFO][CHAT_LOG USER_ID: 6768166922 Query: Hi]
[2024-08-11 09:46:06,884][INFO][CHAT ID 6768166922]
[2024-08-11 10:19:18,962][ERROR][Unknown error: RuntimeError]
[2024-08-11 10:19:18,978][ERROR][Unhandled exception (full traceback for debug level): Request timeout. Request: method=get url=getUpdates params=<aiohttp.formdata.FormData object at 0x000001FCAFCE2100> files=None request_timeout=300]
[2024-08-11 10:39:31,751][INFO][THREAD ID: 1 NAME: TELEGRAM_LISTENER  STARTED]
[2024-08-11 10:39:31,751][INFO][THREAD ID: 4 NAME: TELEGRAM_RESPONSE_QUEUE STARTED]
[2024-08-11 10:39:31,751][INFO][THREAD ID: 2 NAME: BACKEND THREAD STARTED]
[2024-08-11 10:39:32,481][INFO][CHAT_LOG USER_ID: 6768166922 Query: Hi]
